/home/hustzyw/jdk1.8.0_191/bin/java -cp /home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/leveldbjni-binding/conf:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/conf:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/core-0.16.0-SNAPSHOT.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/htrace-core4-4.1.0-incubating.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/jackson-mapper-asl-1.9.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/jackson-core-asl-1.9.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/HdrHistogram-2.1.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/leveldb-api-0.6.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/leveldbjni-binding-0.16.0-SNAPSHOT.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/novelsmjni.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.db.LevelDbJniClient -s -P our-nvm-workloads/count5m/workloada -p rocksdb.dir=/mnt/ssd/xiaohu/novelsm-count5m -load
Command line: -db com.yahoo.ycsb.db.LevelDbJniClient -s -P our-nvm-workloads/count5m/workloada -p rocksdb.dir=/mnt/ssd/xiaohu/novelsm-count5m -load
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
FLAGS_use_existing_db: 0
FLAGS_db_disk: /mnt/ssd/xiaohu/novelsm-count5m/
FLAGS_db_mem:  /pmem/xiaohu/novelsm-count5m/
FLAGS_nvm_buffer_size:  67108864
FLAGS_num_levels:  2
FLAGS_num_read_threads:  1

DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-01-30 07:32:59:191 0 sec: 0 operations; est completion in 0 second 
2019-01-30 07:41:09:155 490 sec: 1733953 operations; 706.88 current ops/sec; est completion in 15 minutes [INSERT: Count=7067, Max=148735, Min=1085, Avg=1409.68, 90=1259, 99=9903, 99.9=11887, 99.99=12655] 
2019-01-30 07:41:19:160 500 sec: 1741041 operations; 708.52 current ops/sec; est completion in 15 minutes [INSERT: Count=7088, Max=12767, Min=1126, Avg=1406.71, 90=1263, 99=9919, 99.9=11703, 99.99=12671] 
2019-01-30 07:41:29:155 510 sec: 1748161 operations; 712.28 current ops/sec; est completion in 15 minutes [INSERT: Count=7120, Max=11935, Min=1126, Avg=1398.73, 90=1260, 99=9751, 99.9=11503, 99.99=11903] 
2019-01-30 07:41:39:160 520 sec: 1812977 operations; 6479.01 current ops/sec; est completion in 15 minutes [INSERT: Count=64815, Max=446207, Min=21, Avg=153.18, 90=49, 99=1255, 99.9=8495, 99.99=11887] 
2019-01-30 07:41:49:155 530 sec: 1820300 operations; 732.59 current ops/sec; est completion in 15 minutes [INSERT: Count=7323, Max=14535, Min=1126, Avg=1360.07, 90=1257, 99=8711, 99.9=13359, 99.99=14335] 
2019-01-30 07:41:59:160 540 sec: 1827722 operations; 741.9 current ops/sec; est completion in 15 minutes [INSERT: Count=7422, Max=15135, Min=1126, Avg=1341.99, 90=1259, 99=1951, 99.9=13671, 99.99=14895] 
2019-01-30 07:42:09:155 550 sec: 1834780 operations; 706.08 current ops/sec; est completion in 15 minutes [INSERT: Count=7058, Max=14815, Min=1128, Avg=1412.69, 90=1258, 99=10279, 99.9=13799, 99.99=14719] 
2019-01-30 07:42:19:160 560 sec: 1842937 operations; 815.37 current ops/sec; est completion in 16 minutes [INSERT: Count=8157, Max=74751, Min=24, Avg=1166.12, 90=1258, 99=1936, 99.9=11239, 99.99=14191] 
2019-01-30 07:42:29:155 570 sec: 1898478 operations; 5556.88 current ops/sec; est completion in 15 minutes [INSERT: Count=55542, Max=625151, Min=21, Avg=186.95, 90=47, 99=1280, 99.9=10511, 99.99=13455] 
2019-01-30 07:42:39:160 580 sec: 1905538 operations; 705.65 current ops/sec; est completion in 15 minutes [INSERT: Count=7059, Max=152319, Min=1086, Avg=1412.05, 90=1280, 99=9879, 99.9=13663, 99.99=14255] 
2019-01-30 07:42:49:156 590 sec: 1912882 operations; 734.69 current ops/sec; est completion in 15 minutes [INSERT: Count=7344, Max=14927, Min=1129, Avg=1356.42, 90=1260, 99=7603, 99.9=14295, 99.99=14775] 
2019-01-30 07:42:59:160 600 sec: 1919867 operations; 698.22 current ops/sec; est completion in 16 minutes [INSERT: Count=6985, Max=14071, Min=1125, Avg=1426.89, 90=1257, 99=10943, 99.9=12743, 99.99=13919] 
2019-01-30 07:43:09:155 610 sec: 1948887 operations; 2903.45 current ops/sec; est completion in 15 minutes [INSERT: Count=29034, Max=409343, Min=20, Avg=342.64, 90=1246, 99=1266, 99.9=10839, 99.99=12951] 
2019-01-30 07:43:19:160 620 sec: 1983945 operations; 3504.05 current ops/sec; est completion in 15 minutes [INSERT: Count=35044, Max=434175, Min=21, Avg=283.82, 90=1244, 99=1262, 99.9=11583, 99.99=13711] 
2019-01-30 07:43:29:155 630 sec: 1990886 operations; 694.38 current ops/sec; est completion in 15 minutes [INSERT: Count=6941, Max=16687, Min=1130, Avg=1435.62, 90=1268, 99=10895, 99.9=15191, 99.99=16687] 
2019-01-30 07:43:39:160 640 sec: 1997887 operations; 699.82 current ops/sec; est completion in 16 minutes [INSERT: Count=7001, Max=15655, Min=1137, Avg=1424.07, 90=1279, 99=10799, 99.9=12799, 99.99=14623] 
2019-01-30 07:43:49:155 650 sec: 2005090 operations; 720.59 current ops/sec; est completion in 16 minutes [INSERT: Count=7203, Max=103935, Min=1088, Avg=1379.61, 90=1281, 99=1970, 99.9=13023, 99.99=15335] 
2019-01-30 07:43:59:160 660 sec: 2065073 operations; 5995.9 current ops/sec; est completion in 15 minutes [INSERT: Count=59983, Max=969727, Min=21, Avg=166.03, 90=48, 99=1251, 99.9=10799, 99.99=13391] 
2019-01-30 07:44:09:155 670 sec: 2072374 operations; 730.47 current ops/sec; est completion in 15 minutes [INSERT: Count=7302, Max=17471, Min=1129, Avg=1364.07, 90=1257, 99=1950, 99.9=15127, 99.99=15815] 
2019-01-30 07:44:19:157 680 sec: 2079762 operations; 738.65 current ops/sec; est completion in 15 minutes [INSERT: Count=7387, Max=16119, Min=1101, Avg=1349.15, 90=1258, 99=1932, 99.9=15455, 99.99=15951] 
2019-01-30 07:44:29:155 690 sec: 2087095 operations; 733.45 current ops/sec; est completion in 16 minutes [INSERT: Count=7334, Max=16943, Min=1129, Avg=1358.62, 90=1256, 99=1946, 99.9=15671, 99.99=16751] 
2019-01-30 07:44:39:160 700 sec: 2094152 operations; 705.35 current ops/sec; est completion in 16 minutes [INSERT: Count=7056, Max=15559, Min=1127, Avg=1413.13, 90=1261, 99=11743, 99.9=13319, 99.99=15207] 
2019-01-30 07:44:49:155 710 sec: 2161238 operations; 6711.28 current ops/sec; est completion in 15 minutes [INSERT: Count=67086, Max=620031, Min=21, Avg=147.84, 90=48, 99=1261, 99.9=1289, 99.99=12135] 
2019-01-30 07:44:59:160 720 sec: 2168061 operations; 682.03 current ops/sec; est completion in 15 minutes [INSERT: Count=6823, Max=15983, Min=1127, Avg=1461.27, 90=1257, 99=11551, 99.9=15143, 99.99=15943] 
2019-01-30 07:45:09:155 730 sec: 2175180 operations; 712.18 current ops/sec; est completion in 15 minutes [INSERT: Count=7119, Max=16263, Min=1129, Avg=1399.12, 90=1259, 99=11927, 99.9=14999, 99.99=15663] 
2019-01-30 07:45:19:158 740 sec: 2182097 operations; 691.56 current ops/sec; est completion in 15 minutes [INSERT: Count=6918, Max=149759, Min=1088, Avg=1441.07, 90=1280, 99=12287, 99.9=14215, 99.99=14895] 
2019-01-30 07:45:29:155 750 sec: 2188946 operations; 685.11 current ops/sec; est completion in 16 minutes [INSERT: Count=6848, Max=14327, Min=1129, Avg=1454.8, 90=1276, 99=12207, 99.9=13647, 99.99=14023] 
2019-01-30 07:45:39:160 760 sec: 2247243 operations; 5826.79 current ops/sec; est completion in 15 minutes [INSERT: Count=58297, Max=504319, Min=20, Avg=170.42, 90=43, 99=1279, 99.9=4091, 99.99=14879] 
2019-01-30 07:45:49:156 770 sec: 2254166 operations; 692.58 current ops/sec; est completion in 15 minutes [INSERT: Count=6923, Max=18287, Min=1123, Avg=1438.85, 90=1276, 99=12143, 99.9=16399, 99.99=18287] 
2019-01-30 07:45:59:160 780 sec: 2261420 operations; 725.11 current ops/sec; est completion in 15 minutes [INSERT: Count=7255, Max=26799, Min=1109, Avg=1374.03, 90=1281, 99=1949, 99.9=17327, 99.99=18543] 
2019-01-30 07:46:09:155 790 sec: 2268178 operations; 676.07 current ops/sec; est completion in 15 minutes [INSERT: Count=6758, Max=17439, Min=1141, Avg=1473.87, 90=1281, 99=12559, 99.9=14351, 99.99=16991] 
2019-01-30 07:46:19:160 800 sec: 2274926 operations; 674.46 current ops/sec; est completion in 15 minutes [INSERT: Count=6747, Max=17391, Min=1146, Avg=1477.08, 90=1282, 99=12647, 99.9=14335, 99.99=16767] 
2019-01-30 07:46:29:155 810 sec: 2287669 operations; 1275.07 current ops/sec; est completion in 16 minutes [INSERT: Count=12748, Max=86015, Min=26, Avg=781.02, 90=1277, 99=1295, 99.9=13055, 99.99=16879] 
2019-01-30 07:46:39:160 820 sec: 2349215 operations; 6150.91 current ops/sec; est completion in 15 minutes [INSERT: Count=61542, Max=505599, Min=20, Avg=161.43, 90=40, 99=1275, 99.9=12183, 99.99=15031] 
2019-01-30 07:46:49:305 830 sec: 2356317 operations; 710.63 current ops/sec; est completion in 15 minutes [INSERT: Count=7101, Max=150271, Min=1147, Avg=1423.14, 90=1282, 99=10207, 99.9=16799, 99.99=17743] 
2019-01-30 07:46:59:160 840 sec: 2363488 operations; 716.67 current ops/sec; est completion in 15 minutes [INSERT: Count=7171, Max=16623, Min=1085, Avg=1369.53, 90=1281, 99=1971, 99.9=16111, 99.99=16559] 
2019-01-30 07:47:09:156 850 sec: 2370650 operations; 716.56 current ops/sec; est completion in 15 minutes [INSERT: Count=7164, Max=18367, Min=1147, Avg=1390.12, 90=1280, 99=1962, 99.9=16767, 99.99=17503] 
2019-01-30 07:47:19:160 860 sec: 2377547 operations; 689.42 current ops/sec; est completion in 15 minutes [INSERT: Count=6895, Max=16199, Min=1147, Avg=1445.57, 90=1283, 99=13023, 99.9=15487, 99.99=16175] 
2019-01-30 07:47:29:155 870 sec: 2412267 operations; 3473.39 current ops/sec; est completion in 15 minutes [INSERT: Count=34720, Max=5816319, Min=21, Avg=277.82, 90=41, 99=1280, 99.9=6055, 99.99=14943] 
2019-01-30 07:47:39:160 880 sec: 2450698 operations; 3841.56 current ops/sec; est completion in 15 minutes [INSERT: Count=38431, Max=870911, Min=20, Avg=267.09, 90=1240, 99=1259, 99.9=14103, 99.99=25679] 
2019-01-30 07:47:49:156 890 sec: 2458330 operations; 763.51 current ops/sec; est completion in 15 minutes [INSERT: Count=7632, Max=18847, Min=1115, Avg=1306.07, 90=1166, 99=13391, 99.9=15823, 99.99=16815] 
